Entity,Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,AUS,25.59160589,24.79318407,25.16935695,26.36215822,29.01009022,26.90006488,28.66956721,28.21509927,29.66514036,32.34416729,31.6487229,30.3671689,29.21488499,28.58214061,32.56175204,33.08907163,32.58501687,32.63453642,32.13035091,32.22022756,32.25551175,33.11026418,35.46651932,36.52612843,37.80155166,38.33233194,38.07481123,40.07043056,39.13464841,41.02901118,44.36520836,41.55727587,40.29614463,37.12073437,39.27118264,41.60422709,42.05143968,42.8703327,45.79790421,40.64967173,41.90673306,43.21034667,41.20843035,42.50649034,41.49437308,40.77764142,41.81872035,43.26264768,45.71045947,43.97785275
Austria,AUT,54.86039181,54.38047113,54.29601925,54.45682012,59.56773168,56.59913407,59.91628164,60.27759574,59.66798781,63.31721921,66.82500607,68.3965503,64.11711395,62.47218502,66.57500609,70.08316155,64.01459718,62.85372281,66.56255039,70.53835881,71.48836947,70.04840589,67.63016749,63.26505056,65.98709334,68.2566011,70.08367112,74.86769022,76.92714939,78.26014034,85.36049562,87.53666476,86.948168,86.38738242,90.79234569,94.03380568,98.08831121,100.7332541,102.0736827,87.06223097,99.01979624,105.1027886,105.1521774,104.0664141,103.5035353,102.4273154,100.9820783,104.9442242,108.1108202,107.779782
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,83.09686221,86.85628743,140.8008133,133.4206762,143.0338739,85.89371075,80.84782481,82.08075281,77.22968535,69.82527523,78.55026388,78.81518549,92.81814433,107.5519485,121.5071159,115.8418846,105.2623998,96.64180815,89.24289686,74.74404168,74.98598846,80.50804501,78.26306954,74.67584476,69.4832252,72.60150791,90.07731873,90.40231568,91.67257654,86.04387801
Bahamas,BHS,145.5737691,148.9056539,146.5521908,141.2634624,158.9013085,139.4918013,126.9311284,95.68423923,96.1120949,113.9472268,130.4782346,137.2220003,144.2092408,142.6004757,129.3252129,132.1660182,124.8561664,125.0378068,124.2535209,91.1142124,90.48153302,87.07843023,83.38713619,85.02295647,85.75606706,85.65667261,78.42809836,79.73438191,77.72639466,75.70244277,79.64464805,72.50114213,70.27766518,71.06346039,76.00189944,81.39627092,87.55028375,88.01314711,87.42922288,76.52073733,78.67529071,88.33412774,84.25073457,84.93527876,86.77328198,76.17327595,73.92128097,76.33919636,77.79774384,75.91981618
Bahrain,BHR,173.9992229,173.3851362,174.9198707,173.6926623,171.5428754,179.5240741,170.011038,165.0935135,155.8467374,156.2813932,170.1292904,181.8590345,162.6288679,136.0980037,139.8177715,138.2441812,132.2446778,149.3139527,134.9134344,141.9266245,159.3551137,155.4982778,158.3981625,144.1758278,133.4578043,131.4275638,141.9184688,128.9500473,113.54135,123.8477727,135.8090154,127.0261113,131.1336552,128.091486,140.7372319,148.3134935,147.1041972,137.7849717,145.8826805,117.9637138,120.4723945,174.155185,185.8845054,191.8720269,175.5679768,154.5572616,139.478264,143.0866673,151.4053124,141.9919539
Bangladesh,BGD,14.64912864,11.9744053,13.65468152,12.94224179,10.30511574,8.507602694,16.99149073,13.93476492,16.22084301,16.62242713,20.7324651,20.8656804,22.39617582,22.12917148,19.43072205,19.66783385,18.08054642,17.67674922,18.61556416,19.55942374,20.27052997,18.97203653,19.93408175,23.12148042,22.8659203,28.20945724,29.77754263,30.01167675,31.60612858,31.85241492,33.207275,36.88222256,33.32301126,34.24910698,36.27827593,39.62709094,38.11192175,39.94900325,42.462217,40.09279622,37.80284267,47.42084984,48.11092452,46.29640164,44.5140802,42.90978071,37.95430073,35.30399652,38.24489299,36.75929975
Barbados,BRB,105.2799328,102.7450696,108.7126939,100.5138821,99.87389457,93.46795222,93.73210708,93.34862398,106.6804613,119.4594737,120.1632129,108.6847297,110.0991458,118.2813614,117.6975943,108.2067966,93.67689296,77.32456195,81.97289914,85.08312971,85.19003383,81.72489466,75.42023625,79.96916341,82.61230941,89.19687352,90.65923328,92.93942644,85.44924061,85.587488,87.91741498,83.81872863,81.01566032,87.43681457,89.3412734,94.7386145,96.5168526,91.14356012,94.54330766,88.4574474,86.92259296,86.59209481,87.22587363,92.19840718,89.76332684,87.52173913,78.69151139,76.49528439,74.75966737,77.34960371
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,86.60714286,68.0,113.2872986,146.0629264,150.2907299,100.3252431,93.60843397,121.4093841,118.9346479,116.8814737,128.5895021,136.6838929,126.9891849,129.7311191,137.4858889,114.9945269,120.2283202,123.9607231,125.359144,108.6356004,115.9179621,157.9742493,153.0852573,119.8159829,110.6514192,115.914818,125.2092871,133.3678168,139.3937147,133.3459397
Belgium,BEL,87.72730318,85.58408232,85.21444014,94.14409414,105.2710782,91.52374934,96.81575765,95.67752312,92.3126051,101.5729704,103.0554475,110.2213524,117.9253486,120.395563,128.2307356,123.8769855,112.3270244,109.9191003,116.4229469,124.9369324,121.4678508,118.5901379,115.0692878,109.0127373,113.2322997,116.3785678,119.2127758,125.6889401,124.7091226,125.1699905,142.2301351,139.5768398,136.0851495,132.7155528,136.9184053,144.5290507,149.5675093,152.4684469,161.0884478,135.4060405,149.9976731,161.4937237,160.7460302,157.850845,158.7832159,154.1925465,157.665026,165.3477564,166.2370873,163.0572489
Belize,BLZ,81.13905413,82.47631996,86.12420981,74.81663541,86.48811295,97.06788281,87.81211323,97.95053273,89.87669015,88.92013834,72.98989574,75.90329368,69.92425267,67.2060287,101.1785169,107.5002671,102.6094295,111.1430975,117.4778479,114.1536038,109.8058044,112.5352512,136.9059206,111.7595414,104.8955194,99.89673532,100.2675739,108.4876093,109.514987,122.4116823,126.6452598,120.449319,119.6531906,119.9526104,109.7461529,118.6502384,123.5250699,124.131809,133.7131336,109.4555243,117.7022321,126.947687,128.2563865,131.9526903,127.5881052,125.0778738,114.2141832,113.4114988,117.5678519,115.0645113
